datasetID,handle,site,long,lat,state,pi,pre,settlement,notes
2066,RICEMNA,Rice Lake,-95.575,46.922222,minnesota,"McAndrews, John H.",,,
3568,RICEMNB,Rice Lake,-95.575,46.922222,minnesota,"McAndrews, John H.",,,
10983,RNDGROVE,Round Grove Lake,-94.5,44.718,minnesota,"Cushing, Edward J.",,,
2290,ROSSBURG,Rossburg Bog,-93.6,46.583333,minnesota,"Wright, Herbert E., Jr.",,,
2309,RUBYLAKE,Ruby Lake,-91.458333,45.283333,wisconsin,"Winkler, Marjorie Green",,,
2314,RUTZLAKE,Rutz Lake,-93.86307,44.87337,minnesota,"Waddington, Jean C.B.",,,
2318,RYERSE,Ryerse Lake,-85.179167,46.131944,michigan:north,"Futyma, Richard P.",,,
2354,SEDIVY,Sedivy Lake,-95.833333,47.208889,minnesota,"McAndrews, John H.",,,
3620,SEIDEL02,Seidel,-87.515556,44.45,wisconsin,"Maher, Louis J., Jr.",,,
2375,SHAGAWA,Shagawa Lake,-91.866667,47.916667,minnesota,"Bradbury, J. Platt",,,
13029,SHARKEY,Sharkey Lake,-93.4148,44.5939,minnesota,"Umbanhowar, Charles E., Jr.",,,
2383,SILVERMN,Silver Lake,-94.21768,44.9034,minnesota,"McAndrews, John H.",,,
2394,SISEEBA,Siseebakwet South,-93.683333,47.133333,minnesota,"Cushing, Edward J.",,,
2581,SOLUM,Solum Lake,-96.25,46.662222,minnesota,"McAndrews, John H.",,,
2584,SOSTANCH,South Stanchfield Lake,-93.466667,45.725,minnesota,"McAndrews, John H.",,,
10970,SOUHERON,South Heron Lake,-95.27,43.75,minnesota,"Cushing, Edward J.",,,
2585,SPECTACL,Spectacle Lake,-93.408333,45.572222,minnesota,"McAndrews, John H.",,,
2586,SPIRIT,Spirit Lake (US:Michigan),-86.958333,46.47,michigan:north,"Davis, Margaret B.",,,
2600,STCATHER,St. Catherines Lake,-93.43988,44.6307,minnesota,"McAndrews, John H.",,,
2605,STONE,Stone Lake,-93.522222,45.4,minnesota,"McAndrews, John H.",,,
2607,STONTAM1,Stone Lake Tamarack Swamp,-93.691667,44.891667,minnesota,"Swain, Patricia C.",,,
3780,STONTAM2,Stone Lake Tamarack Swamp,-93.691667,44.891667,minnesota,"Swain, Patricia C.",,,
3781,STWDARK2,Stewart's Dark Lake,-91.45,45.3,wisconsin,"Peters, M. A.",,,
2613,SUNFISH,Sunfish Lake,-93.1,44.874722,minnesota,"McAndrews, John H.",,,
2624,TAMARACK,Tamarack Creek,-91.45,44.15,wisconsin,"Davis, Anthony M.",,,
2638,TERHELL,Terhell Pond,-95.770556,47.187778,minnesota,"McAndrews, John H.",,,
3784,THIRDLK,Third Lake,-92.016667,48.108333,minnesota,"Swain, Patricia C.",,,
2640,THOMPSON,Thompson,-96.083333,47.2,minnesota,"McAndrews, John H.",,,
3786,THRDBGN,Third Lake,-92.016667,48.108333,minnesota,"Swain, Patricia C.",,,
3788,THRDBGW,Third Lake,-92.016667,48.108333,minnesota,"Swain, Patricia C.",,,
2648,TOENJES,Toenjes Lake,-93.98339,45.40997,minnesota,"McAndrews, John H.",,,
2881,TWINMN1,Twin Lakes,-93.167778,45.848889,minnesota,"McAndrews, John H.",,,
12015,UNION,Union Lake,-95.3484,45.8207,minnesota,"Cushing, Edward J.",,,
2888,UPGRAVEN,Upper Graven Lake,-95.306944,46.184444,minnesota,"Almquist-Jacobson, Heather",,,
3831,VESTABRG,Vestaburg Bog,-84.883333,43.416667,michigan:south,"Gilliam, Jeanne A.",,,
3837,WEBERLK,Weber Lake,-91.66,47.471667,minnesota,"Fries, Magnus",,,
2948,WENTZEL,Wentzel's Pond,-94.95,46.95,minnesota,"Almendinger, John C.",,,
13051,WESTOLAF,West Olaf Lake,-96.198,46.6043,minnesota,"Nelson, David M.",,,
2952,WHITLIL1,White Lily Lake,-93.102778,46.086111,minnesota,"McAndrews, John H.",,,
2961,WINTERGR,Wintergreen Lake,-85.383333,42.4,michigan:south,"Bailey, Robert E.",,,
3031,WOLSFELD,Wolsfeld Lake,-93.577,45.008,minnesota,"Grimm, Eric Christopher",,,
3032,WOLVERIN,Wolverine Lake,-85.661111,46.429167,michigan:north,"Futyma, Richard P.",,,
3035,WOODLAKE,Wood Lake,-90.083333,45.333333,wisconsin,"Heide, Kathleen M.",,,
3047,YELLOWDG,Yellow Dog Pond,-87.95,46.75,michigan:north,"Brubaker, Linda B.",,,
12012,ZIEBELL,Ziebell Lake,-95.2663,46.0572,minnesota,"Cushing, Edward J.",,,
