id sitename lat long state altitude model ages ASH BEECH BIRCH ELM HEMLOCK MAPLE OAK OTHER.CONIFER OTHER.HARDWOOD PINE SPRUCE TAMARACK
275 BillysLake 46.283333 -94.583333 minnesota 383 Jacobson 1384 3 0 19 4 0 0 59 0 30 47 1 2
275 BillysLake 46.283333 -94.583333 minnesota 383 Jacobson 1476 5 0 30 3 0 1 94 0 38 40 0 1
275 BillysLake 46.283333 -94.583333 minnesota 383 Jacobson 1567 3 0 42 6 0 3 63 0 58 41 0 0
275 BillysLake 46.283333 -94.583333 minnesota 383 Jacobson 1750 5 0 48 6 0 1 109 3 41 44 2 1
275 BillysLake 46.283333 -94.583333 minnesota 383 Jacobson 2024 2 0 27 1 0 2 66 0 36 38 2 0
275 BillysLake 46.283333 -94.583333 minnesota 383 Jacobson 2152 2 0 28 4 0 0 97 1 75 23 1 0
275 BillysLake 46.283333 -94.583333 minnesota 383 Jacobson 2274 1 0 26 4 0 1 61 0 27 33 0 1
275 BillysLake 46.283333 -94.583333 minnesota 383 Jacobson 2437 1 0 46 5 0 0 106 0 37 27 0 0
275 BillysLake 46.283333 -94.583333 minnesota 383 Jacobson 2600 2 0 33 5 0 0 64 0 45 19 0 1
275 BillysLake 46.283333 -94.583333 minnesota 383 Jacobson 2763 2 0 22 5 0 0 68 0 18 14 4 0
275 BillysLake 46.283333 -94.583333 minnesota 383 Jacobson 2926 3 0 14 4 0 0 64 0 20 12 0 0
275 BillysLake 46.283333 -94.583333 minnesota 383 Jacobson 3089 0 0 12 3 0 0 52 0 24 22 5 0
275 BillysLake 46.283333 -94.583333 minnesota 383 Jacobson 3252 1 0 8 3 0 1 65 0 23 19 2 0
275 BillysLake 46.283333 -94.583333 minnesota 383 Jacobson 3333 2 0 12 3 0 0 49 0 27 20 0 0
275 BillysLake 46.283333 -94.583333 minnesota 383 Jacobson 3415 2 0 7 0 0 0 41 1 27 31 0 0
275 BillysLake 46.283333 -94.583333 minnesota 383 Jacobson 3578 2 0 12 2 0 0 51 0 23 28 2 0
275 BillysLake 46.283333 -94.583333 minnesota 383 Jacobson 3757 0 0 2 2 0 4 47 0 25 20 1 0
275 BillysLake 46.283333 -94.583333 minnesota 383 Jacobson 3985 3 0 6 5 0 1 48 0 25 21 2 0
275 BillysLake 46.283333 -94.583333 minnesota 383 Jacobson 4099 1 0 10 9 0 1 52 0 24 22 4 0
275 BillysLake 46.283333 -94.583333 minnesota 383 Jacobson 4213 1 0 2 2 0 0 39 0 9 6 0 0
275 BillysLake 46.283333 -94.583333 minnesota 383 Jacobson 4327 0 0 3 2 0 3 60 1 13 17 2 0
275 BillysLake 46.283333 -94.583333 minnesota 383 Jacobson 4441 1 0 13 6 0 0 43 0 15 23 0 0
275 BillysLake 46.283333 -94.583333 minnesota 383 Jacobson 4669 2 0 3 5 0 0 44 0 15 17 1 0
275 BillysLake 46.283333 -94.583333 minnesota 383 Jacobson 4783 1 0 5 1 0 1 34 0 13 20 0 0
275 BillysLake 46.283333 -94.583333 minnesota 383 Jacobson 4954 4 0 4 7 0 1 30 0 20 15 3 0
275 BillysLake 46.283333 -94.583333 minnesota 383 Jacobson 5125 2 0 3 10 0 1 40 0 40 21 0 0
275 BillysLake 46.283333 -94.583333 minnesota 383 Jacobson 5353 4 0 5 4 0 0 31 0 18 21 1 0
275 BillysLake 46.283333 -94.583333 minnesota 383 Jacobson 5581 6 0 7 7 0 3 23 0 23 17 1 0
275 BillysLake 46.283333 -94.583333 minnesota 383 Jacobson 5809 5 0 5 6 0 0 31 0 18 22 1 0
275 BillysLake 46.283333 -94.583333 minnesota 383 Jacobson 5923 1 0 8 9 0 2 28 0 17 13 0 0
275 BillysLake 46.283333 -94.583333 minnesota 383 Jacobson 6169 2 0 7 3 0 0 47 1 17 21 1 0
275 BillysLake 46.283333 -94.583333 minnesota 383 Jacobson 6452 4 0 8 6 0 0 43 0 14 17 0 0
275 BillysLake 46.283333 -94.583333 minnesota 383 Jacobson 6830 3 0 1 9 0 1 20 0 18 18 0 0
275 BillysLake 46.283333 -94.583333 minnesota 383 Jacobson 7208 2 0 6 4 0 2 49 0 22 13 2 0
