id sitename lat long state altitude type age age_old bacon_depth ASH BEECH BIRCH ELM HEMLOCK MAPLE OAK OTHER.CONIFER OTHER.HARDWOOD PINE SPRUCE TAMARACK
275 BillysLake 46.283333 -94.583333 minnesota 383 Bacon 1656.87143214259 1567 350 3 0 42 6 0 3 63 0 58 41 0 0
275 BillysLake 46.283333 -94.583333 minnesota 383 Bacon 1861.08822369416 1750 370 5 0 48 6 0 1 109 3 41 44 2 1
275 BillysLake 46.283333 -94.583333 minnesota 383 Bacon 2169.03126465986 2024 400 2 0 27 1 0 2 66 0 36 38 2 0
275 BillysLake 46.283333 -94.583333 minnesota 383 Bacon 2325.81056302522 2152 415 2 0 28 4 0 0 97 1 75 23 1 0
275 BillysLake 46.283333 -94.583333 minnesota 383 Bacon 2483.75767460755 2274 430 1 0 26 4 0 1 61 0 27 33 0 1
275 BillysLake 46.283333 -94.583333 minnesota 383 Bacon 2691.47921361632 2437 450 1 0 46 5 0 0 106 0 37 27 0 0
275 BillysLake 46.283333 -94.583333 minnesota 383 Bacon 2903.08886893177 2600 470 2 0 33 5 0 0 64 0 45 19 0 1
275 BillysLake 46.283333 -94.583333 minnesota 383 Bacon 3117.98938577117 2763 490 2 0 22 5 0 0 68 0 18 14 4 0
275 BillysLake 46.283333 -94.583333 minnesota 383 Bacon 3329.66782840686 2926 510 3 0 14 4 0 0 64 0 20 12 0 0
275 BillysLake 46.283333 -94.583333 minnesota 383 Bacon 3539.96690085331 3089 530 0 0 12 3 0 0 52 0 24 22 5 0
275 BillysLake 46.283333 -94.583333 minnesota 383 Bacon 3749.21189413341 3252 550 1 0 8 3 0 1 65 0 23 19 2 0
275 BillysLake 46.283333 -94.583333 minnesota 383 Bacon 3855.19011551183 3333 560 2 0 12 3 0 0 49 0 27 20 0 0
275 BillysLake 46.283333 -94.583333 minnesota 383 Bacon 3959.55857782705 3415 570 2 0 7 0 0 0 41 1 27 31 0 0
275 BillysLake 46.283333 -94.583333 minnesota 383 Bacon 4171.34620879487 3578 590 2 0 12 2 0 0 51 0 23 28 2 0
275 BillysLake 46.283333 -94.583333 minnesota 383 Bacon 4390.40548200694 3757 610 0 0 2 2 0 4 47 0 25 20 1 0
275 BillysLake 46.283333 -94.583333 minnesota 383 Bacon 4664.09967163832 3985 630 3 0 6 5 0 1 48 0 25 21 2 0
275 BillysLake 46.283333 -94.583333 minnesota 383 Bacon 4801.93416390217 4099 640 1 0 10 9 0 1 52 0 24 22 4 0
275 BillysLake 46.283333 -94.583333 minnesota 383 Bacon 4941.83288210523 4213 650 1 0 2 2 0 0 39 0 9 6 0 0
