"x","y","region","water","Ash","Basswood","Beech","Birch","Cherry","Dogwood","Elm","Fir","Hemlock","Hickory","Ironwood","Maple","Oak","Pine","Spruce","Tamarack","Walnut","Other hardwood","Black gum/sweet gum","Cedar/juniper","Poplar/tulip poplar"
845000,686000,"michigan_south",0,0.0416012,0.0196164,0.4369368,0.0039064,0.002878,0.0001176,0.0366856,6.2e-05,0.0002852,0.0073892,0.0203516,0.3328896,0.0628068,0.0004716,0.000144,0.0261104,0.0016896,0.002914,0.0005692,0.000314,0.0022608
853000,686000,"michigan_south",0,0.0566316,0.0300964,0.4842256,0.0037796,0.0053476,8.48e-05,0.0524024,7.92e-05,0.0003004,0.0089752,0.022466,0.2359436,0.0475472,0.000724,0.000212,0.036352,0.00197,0.0093704,0.0006276,0.0005208,0.0023436
861000,686000,"michigan_south",0,0.0688564,0.0442736,0.3810332,0.0038728,0.0086264,0.000182,0.140222,6.72e-05,0.0003204,0.0164544,0.0141796,0.2344704,0.039024,0.000766,0.0003472,0.0178448,0.0032324,0.0210084,0.0012508,0.0010136,0.0029544
869000,686000,"michigan_south",0,0.117376,0.0453672,0.3700972,0.0036064,0.0159588,0.0002756,0.2095424,8.28e-05,0.0003644,0.0161504,0.0136056,0.1542184,0.0209048,0.0008432,0.000382,0.010858,0.0046448,0.0069712,0.0032228,0.0012864,0.0042416
877000,686000,"michigan_south",0,0.078398,0.0378016,0.5123164,0.0018844,0.0084008,0.0001604,0.0873704,5.4e-05,0.0002156,0.0080868,0.0111432,0.1979392,0.028426,0.0005012,0.0002888,0.0147864,0.0023992,0.003538,0.000752,0.0006864,0.0048512
885000,686000,"michigan_south",0,0.0930208,0.0530836,0.4330344,0.0023116,0.0324044,0.0002104,0.0655476,8.44e-05,0.0003448,0.0104304,0.0199148,0.1953472,0.0385648,0.0006172,0.0005848,0.0214156,0.0029052,0.0098952,0.0006636,0.000896,0.0187232
893000,686000,"michigan_south",0,0.094808,0.0328264,0.4039148,0.0018076,0.0114572,0.0001916,0.051976,5.8e-05,0.0002048,0.0078892,0.0416,0.1107852,0.15431,0.0006184,0.0006368,0.0537776,0.0024172,0.0037884,0.0007184,0.0007908,0.0254236
901000,686000,"michigan_south",0,0.08127,0.0359372,0.1827124,0.0016364,0.0071012,0.000402,0.0615724,5.72e-05,0.0002332,0.0117832,0.0455528,0.0626884,0.2640976,0.0005592,0.0009828,0.1743216,0.0027784,0.003706,0.0005968,0.0008836,0.0611276
909000,686000,"michigan_south",0,0.0848716,0.0259,0.029124,0.0010292,0.0077904,0.00015,0.0398236,3.88e-05,0.0001448,0.0152076,0.0158476,0.0505868,0.430744,0.0004148,0.0007432,0.248112,0.0023476,0.0035812,0.0002936,0.0005472,0.042702
917000,686000,"michigan_south",0,0.096022,0.0395288,0.0889256,0.001564,0.006016,0.0002544,0.0956432,6.52e-05,0.0002376,0.0169836,0.027538,0.0456984,0.4260924,0.000818,0.0013484,0.1274676,0.0049176,0.0047604,0.0002208,0.0004736,0.0154244
925000,686000,"michigan_south",0,0.0871896,0.0651276,0.178798,0.001946,0.0105688,0.0004592,0.0881224,9.48e-05,0.0002676,0.0146228,0.0310472,0.1529932,0.2449468,0.0008056,0.003084,0.07818,0.0035452,0.0118796,0.000344,0.000666,0.0253116
933000,686000,"michigan_south",0,0.1062532,0.0643172,0.0445056,0.0023848,0.0076992,0.0006092,0.1437476,0.000126,0.0004988,0.0332,0.041242,0.0846572,0.331228,0.0014884,0.0103632,0.0561436,0.003446,0.005172,0.0003868,0.0007824,0.0617488
941000,686000,"michigan_south",0,0.0493276,0.0188156,0.01149,0.0011784,0.0034788,0.0003476,0.1184328,6.28e-05,0.0002048,0.0233744,0.0150368,0.0269056,0.5653028,0.001076,0.0977424,0.0224288,0.0016044,0.0025468,0.0001824,0.0003456,0.0401156
949000,686000,"michigan_south",0,0.0254272,0.0101456,0.0031616,0.0005832,0.0015016,9.8e-05,0.034346,1.28e-05,8.96e-05,0.0115948,0.0054992,0.0090692,0.833276,0.0004732,0.0082356,0.0300748,0.000546,0.0008692,5.92e-05,0.0001304,0.0248068
957000,686000,"michigan_south",0,0.026768,0.00836,0.0029504,0.0006932,0.0015428,0.000256,0.0294568,2.96e-05,0.0001088,0.035338,0.0072772,0.007922,0.7923452,0.0006744,0.003882,0.0129456,0.000644,0.0009828,3.08e-05,0.0002496,0.0675428
965000,686000,"michigan_south",0,0.0155752,0.004482,0.0011472,0.0005604,0.0006296,0.000156,0.0099832,7.2e-06,4e-05,0.0566092,0.0024156,0.0035088,0.8793764,0.000594,0.0007052,0.0125296,0.000324,0.0005472,1.28e-05,0.0001152,0.0106812
973000,686000,"michigan_south",0,0.006778,0.0032372,0.0005624,0.0002604,0.0004228,0.0001708,0.0058588,6.4e-06,2.8e-05,0.044712,0.0010744,0.0019744,0.9105512,0.0004944,0.0001356,0.0124436,0.0002384,0.0003348,6.4e-06,0.0001148,0.0105952
981000,686000,"michigan_south",0,0.0248356,0.0061184,0.0013592,0.0006948,0.0007556,0.0007484,0.0138492,2.28e-05,7.36e-05,0.0393648,0.0028484,0.0048704,0.8446448,0.0022112,0.0002268,0.0334604,0.0007144,0.0008228,3.8e-05,0.0003924,0.021948
989000,686000,"michigan_south",0,0.0124312,0.0049128,0.0020324,0.0008632,0.0005952,0.002142,0.0189708,1.56e-05,0.000118,0.0241284,0.0061188,0.0074868,0.8828052,0.0031944,0.0001756,0.0161892,0.0008688,0.000632,3.52e-05,0.0012232,0.0150612
997000,686000,"michigan_south",0,0.0186,0.0067976,0.005916,0.001914,0.0007184,0.000784,0.018964,2.32e-05,0.0001516,0.018532,0.0058188,0.00825,0.8100628,0.0143508,0.0001796,0.0694352,0.002224,0.0007464,5.24e-05,0.0009424,0.0155368
1005000,686000,"michigan_south",0,0.0092388,0.0039264,0.0021964,0.0007968,0.0004024,0.0001904,0.010318,1.04e-05,5.24e-05,0.016102,0.0031604,0.0034132,0.907388,0.0030988,7.6e-05,0.0163856,0.0033868,0.0003724,3.56e-05,0.0003168,0.0191324
1013000,686000,"michigan_south",0,0.014834,0.0078548,0.005412,0.001078,0.0017812,0.0001884,0.012236,1.52e-05,0.0001128,0.0057304,0.0065008,0.0056956,0.9126092,0.002426,9.56e-05,0.0150996,0.001332,0.0004852,3.32e-05,0.0002928,0.0061872
1021000,686000,"michigan_south",0,0.175094,0.0662736,0.130698,0.0071784,0.0047428,0.000834,0.0573924,0.0001584,0.0009932,0.0203264,0.0463568,0.0576812,0.3758276,0.003378,0.000724,0.0164584,0.0083248,0.003874,0.0002504,0.0016436,0.02179
1029000,686000,"michigan_south",0,0.1963288,0.07053,0.2163916,0.0105892,0.005616,0.0009388,0.0676048,0.0001756,0.0013768,0.0388676,0.0499076,0.1400476,0.1721508,0.002726,0.000674,0.0056796,0.0039096,0.0042344,0.0004748,0.001412,0.0103644
1037000,686000,"michigan_south",0,0.2305712,0.0674396,0.2692508,0.0138856,0.0058532,0.0008212,0.0894116,0.0002124,0.0014296,0.0146056,0.033632,0.0959812,0.1472324,0.0021344,0.0007872,0.003676,0.003302,0.0084424,0.0003904,0.0015912,0.00935
1045000,686000,"michigan_south",0,0.1995808,0.0475972,0.4861176,0.011202,0.0051472,0.0004512,0.0593676,0.000152,0.001362,0.0086144,0.0135684,0.062766,0.0810268,0.0016628,0.000476,0.0018964,0.0014736,0.0030248,0.0003076,0.0012508,0.0129548
1053000,686000,"michigan_south",0,0.2415732,0.0558224,0.3270796,0.023978,0.0057868,0.0005092,0.0693848,0.000228,0.002782,0.0167668,0.0174772,0.0545016,0.1567536,0.0039368,0.0005396,0.0026572,0.001688,0.00455,0.0007156,0.0016984,0.0115712
