"x","y","region","water","Ash","Atlantic white cedar","Basswood","Beech","Birch","Cherry","Chestnut","Dogwood","Elm","Fir","Hemlock","Hickory","Ironwood","Maple","Oak","Pine","Spruce","Tamarack","Walnut","Other hardwood","Black gum/sweet gum","Cedar/juniper","Poplar/tulip poplar"
965000,582000,"michigan_south",0,0.0656352,NA,0.0178972,0.0075264,0.0003108,0.0007696,NA,0.000312,0.1023864,1.64e-05,7e-05,0.0286764,0.0040508,0.0163276,0.7125772,5.4e-05,3.88e-05,0.000416,0.0031204,0.0184856,0.0001776,0.0001904,0.0209612
973000,582000,"michigan_south",0,0.0419224,NA,0.0100076,0.0032,0.0001224,0.000398,NA,0.0001032,0.025062,4e-06,3.12e-05,0.0378164,0.0016052,0.0064388,0.8476184,2.28e-05,2.96e-05,0.0002188,0.001982,0.0041604,9.28e-05,6.8e-05,0.019096
981000,582000,"michigan_south",0,0.0914584,NA,0.0146788,0.007172,0.000274,0.0011568,NA,0.0003028,0.0407968,4e-06,9.04e-05,0.089528,0.00339,0.0135448,0.6999112,6.52e-05,6.24e-05,0.0003752,0.0029988,0.005244,0.0002088,0.000214,0.0285236
717000,590000,"michigan_south",6,0.1289744,NA,0.0941196,0.4234804,0.0042392,0.0243028,NA,0.0003596,0.0483812,5.04e-05,0.0017548,0.0093772,0.0154732,0.10012,0.0420516,0.0585528,0.0003376,0.0040424,0.0068472,0.0183648,0.0013124,0.0008116,0.0170468
725000,590000,"michigan_south",0,0.1591572,NA,0.1313904,0.3382768,0.0048624,0.0074212,NA,0.0005416,0.0961048,6.84e-05,0.0033084,0.010154,0.0257924,0.0804568,0.0380856,0.0084692,0.0005436,0.013428,0.0114252,0.0417496,0.0019984,0.0011416,0.0256244
733000,590000,"michigan_south",0,0.110994,NA,0.0940636,0.3426248,0.0030308,0.003632,NA,0.0003376,0.0608884,3.24e-05,0.001424,0.0137248,0.0184316,0.0609968,0.2091632,0.002538,0.0003196,0.03992,0.0041984,0.0116628,0.0017296,0.0007836,0.019504
741000,590000,"michigan_south",0,0.0566452,NA,0.0412548,0.207014,0.001892,0.0017128,NA,0.0002784,0.0383728,1.6e-05,0.0007212,0.0401376,0.0074512,0.0444804,0.4737168,0.0010208,0.000194,0.046496,0.0023092,0.0055964,0.0016464,0.0002736,0.0287704
749000,590000,"michigan_south",0,0.0670636,NA,0.0447064,0.154956,0.0024208,0.0026604,NA,0.0003332,0.0494324,8e-06,0.0006412,0.1096448,0.0086272,0.0909156,0.4241448,0.0010404,0.0002292,0.009188,0.002896,0.0055764,0.0031652,0.0003944,0.021956
757000,590000,"michigan_south",0,0.0136768,NA,0.0048152,0.0123636,0.0004696,0.0006152,NA,8.08e-05,0.007086,1.6e-06,6.52e-05,0.1000724,0.0018716,0.0112188,0.7996188,0.0002192,2.64e-05,0.0016988,0.0006488,0.0015176,0.0007824,2.72e-05,0.043124
765000,590000,"michigan_south",0,0.0051368,NA,0.0014452,0.0051048,0.0003032,0.0004392,NA,3.04e-05,0.0027788,8e-07,2.28e-05,0.0858088,0.0007616,0.00401,0.8871056,4.56e-05,4e-06,0.0012724,0.0003572,0.0004112,0.0002216,1.6e-05,0.004724
